Hon Anthony Albanese: Member for Grayndler, New South Wales
Ms Madeleine King: Member for Brand, Western Australia
Mr Andrew Laming: Member for Bowman, Queensland
Hon Michelle Landry: Member for Capricornia, Queensland
Mr Julian Leeser: Member for Berowra, New South Wales
Hon Dr Andrew Leigh: Member for Fenner, Australian Capital Territory
Hon Sussan Ley: Member for Farrer, New South Wales
Hon David Littleproud: Member for Maranoa, Queensland
Ms Gladys Liu: Member for Chisholm, Victoria
Hon Nola Marino: Member for Forrest, Western Australia
Hon Richard Marles: Member for Corio, Victoria
Dr Fiona Martin: Member for Reid, New South Wales
Ms Kristy McBain: Member for Eden-Monaro, New South Wales
Ms Emma McBride: Member for Dobell, New South Wales
Hon Michael McCormack: Member for Riverina, New South Wales
Mrs Melissa McIntosh: Member for Lindsay, New South Wales
Mr Brian Mitchell: Member for Lyons, Tasmania
Mr Rob Mitchell: Member for McEwen, Victoria
Hon Scott Morrison: Member for Cook, New South Wales
Hon Ben Morton: Member for Tangney, Western Australia
Dr Daniel Mulino: Member for Fraser, Victoria
Ms Peta Murphy: Member for Dunkley, Victoria
Hon Shayne Neumann: Member for Blair, Queensland
Mr Ted O'Brien: Member for Fairfax, Queensland
Mr Llew O'Brien: Member for Wide Bay, Queensland
Hon Brendan O'Connor: Member for Gorton, Victoria
Mr Ken O'Dowd: Member for Flynn, Queensland
Ms Clare O'Neil: Member for Hotham, Victoria
Ms Julie Owens: Member for Parramatta, New South Wales
Mr Tony Pasin: Member for Barker, South Australia
Ms Alicia Payne: Member for Canberra, Australian Capital Territory
Mr Gavin Pearce: Member for Braddon, Tasmania
Mr Graham Perrett: Member for Moreton, Queensland
Mrs Fiona Phillips: Member for Gilmore, New South Wales
Hon Keith Pitt: Member for Hinkler, Queensland
Hon Tanya Plibersek: Member for Sydney, New South Wales
Hon Christian Porter: Member for Pearce, Western Australia
Hon Melissa Price: Member for Durack, Western Australia
Mr Rowan Ramsey: Member for Grey, South Australia
Hon Amanda Rishworth: Member for Kingston, South Australia
Hon Stuart Robert: Member for Fadden, Queensland
Ms Michelle Rowland: Member for Greenway, New South Wales
Ms Joanne Ryan: Member for Lalor, Victoria
Ms Rebekha Sharkie: Member for Mayo, South Australia
Mr Dave Sharma: Member for Wentworth, New South Wales
Hon Bill Shorten: Member for Maribyrnong, Victoria
Mr Julian Simmonds: Member for Ryan, Queensland
Hon Tony Smith: Member for Casey, Victoria
Mr David Smith: Member for Bean, Australian Capital Territory
Hon Warren Snowdon: Member for Lingiari, Northern Territory
Ms Anne Stanley: Member for Werriwa, New South Wales
Ms Zali Steggall OAM: Member for Warringah, New South Wales
Mr James Stevens: Member for Sturt, South Australia
Hon Michael Sukkar: Member for Deakin, Victoria
Ms Meryl Swanson: Member for Paterson, New South Wales
Hon Angus Taylor: Member for Hume, New South Wales
Hon Dan Tehan: Member for Wannon, Victoria
Ms Susan Templeman: Member for Macquarie, New South Wales
Hon Matt Thistlethwaite: Member for Kingsford Smith, New South Wales
Mr Phillip Thompson OAM: Member for Herbert, Queensland
Ms Kate Thwaites: Member for Jagajaga, Victoria
Hon Alan Tudge: Member for Aston, Victoria
Ms Maria Vamvakinou: Member for Calwell, Victoria
Mr Bert van Manen: Member for Forde, Queensland
Mr Ross Vasta: Member for Bonner, Queensland
Mr Andrew Wallace: Member for Fisher, Queensland
Mr Tim Watts: Member for Gellibrand, Victoria
Dr Anne Webster: Member for Mallee, Victoria
Ms Anika Wells: Member for Lilley, Queensland
Mrs Lucy Wicks: Member for Robertson, New South Wales
Mr Andrew Wilkie: Member for Clark, Tasmania
Mr Josh Wilson: Member for Fremantle, Western Australia
Mr Rick Wilson: Member for O'Connor, Western Australia
Mr Tim Wilson: Member for Goldstein, Victoria
Hon Jason Wood: Member for La Trobe, Victoria
Hon Ken Wyatt AM: Member for Hasluck, Western Australia
Mr Terry Young: Member for Longman, Queensland
Mr Tony Zappia: Member for Makin, South Australia
Mr Trent Zimmerman: Member for North Sydney, New South Wales
